feature,mean_difference,median_difference,std_difference,wilcoxon_statistic,p_value,rank_biserial,point_biserial_r,control_mean,control_median,control_std,control_q1,control_q3,control_iqr,control_min,control_max,control_range,control_skewness,control_kurtosis,control_n_outliers,retracted_mean,retracted_median,retracted_std,retracted_q1,retracted_q3,retracted_iqr,retracted_min,retracted_max,retracted_range,retracted_skewness,retracted_kurtosis,retracted_n_outliers,q_value,significant
duplicate_ngram_chr_fraction_10,0.01842180736768013,0.013116010513774399,0.06311082292637887,79190.0,4.480781611157483e-16,0.35447320154880785,0.1867231306322956,0.045084261464250625,0.03156219366479135,0.045375239776269415,0.012683622744005876,0.0649380131503956,0.052254390406389725,0.0,0.3542854592320653,0.3542854592320653,2.0192511616028423,6.410194744836197,24,0.06350606883193076,0.05177388005777815,0.05142771285572115,0.025216735641409325,0.0880555063901379,0.06283877074872857,0.0,0.3144411441854458,0.3144411441854458,1.3650493691767134,2.3999657854193597,26,3.543890910642736e-15,True
pos_prop_DET,-0.006401463150374995,-0.0061895360152017555,0.02085849970549154,81457.0,1.320621713597174e-15,-0.34722383610275237,-0.19322251711002142,0.06836165177487004,0.06695211860047776,0.017371757232542927,0.056179626023677175,0.07906356227224187,0.022883936248564697,0.0245132127955493,0.1396388650042992,0.1151256522087499,0.608195644577501,0.5806255433164309,10,0.06196018862449505,0.05994910871541875,0.01507583194822518,0.05124625093396094,0.07122145430498386,0.019975203371022918,0.0244507441530829,0.1255432158377595,0.10109247168467658,0.7466598453832181,0.8936362387929391,12,9.574507423579512e-15,True
acronym_density,11.838918052488586,12.250504764894774,41.756752037410244,82618.0,7.339645838832875e-15,0.33791987049777417,0.17818685877148405,64.66217175345334,61.87541569534075,34.722856219243205,40.740551862161354,85.51859402026192,44.77804215810056,0.0,398.2015217892552,398.2015217892552,1.6513470894364815,12.176876711212518,6,76.50108980594192,74.78001455251031,30.569261391552928,55.301118612221714,97.66229088311468,42.361172270892965,0.7847753580537571,230.3370786516854,229.55230329363164,0.348004248384522,0.5833771450400347,2,4.911916830603539e-14,True
n_acronym_mentions,61.36685552407932,53.5,239.19508043168935,85124.0,3.6883629268179333e-13,0.3159021959697024,0.14650522455795958,276.28186968838526,236.5,207.80150412745826,132.0,377.0,245.0,0.0,1963.0,1963.0,2.5731775439115614,14.619542797618806,20,337.64872521246457,310.0,206.84293175453766,200.25,421.75,221.5,3.0,1793.0,1790.0,1.7899927705736247,6.744711659367491,30,2.292054104522573e-12,True
n_unique_acronyms,11.305949008498583,12.0,55.39831160873141,85449.5,1.0230606056152867e-11,0.2974434025479644,0.1156321631364894,71.37252124645893,60.5,54.10461401795102,36.0,97.75,61.75,0.0,779.0,779.0,4.120180939772755,43.411114590701466,11,82.6784702549575,77.0,42.37281365723816,54.0,104.0,50.0,1.0,276.0,275.0,1.036727595373448,1.8397094077784484,20,5.933751512568662e-11,True
pos_prop_PRON,-0.0015214121659608477,-0.0010558581331163,0.005843631216594384,90285.0,1.9635222154784884e-10,-0.2764784369978883,-0.1672057432608889,0.010907595080122172,0.00993320585868765,0.0050728335067008416,0.0075234391745462,0.0135669958935454,0.006043556718999199,0.0016414371694327,0.0539575481055346,0.0523161109361019,1.8759305712895242,8.870497091415814,17,0.009386182914161325,0.0090661457485997,0.00381606820430327,0.00694115366236445,0.011428169911737075,0.004487016249372625,0.0022512381809995,0.0287658521497061,0.0265146139687066,0.9232701228497753,1.9427675710897763,15,1.067665204666428e-09,True
pos_prop_CCONJ,0.00236977345667625,0.0025107961391384014,0.009752385709204451,90612.0,2.9034915595770407e-10,0.27385794022542687,0.16563457774476256,0.035255603776641456,0.0348594793473353,0.006880518346800544,0.03070765669917725,0.03884911548199005,0.008141458782812798,0.0132127955493741,0.0767235789928679,0.0635107834434938,0.7573293573651381,2.368363241358682,17,0.03762537723331771,0.037202019042504794,0.00723465877044822,0.0328652825570687,0.04153488076912285,0.008669598212054153,0.0161377813940873,0.0701258669406627,0.053988085546575394,0.5978135650668819,1.037152911746249,16,1.4859045040188384e-09,True
mltd,-4.894705688438983,-3.754453624247539,19.768299253879,93757.0,1.042335681439136e-08,-0.24865469145052915,-0.16504074666272647,83.4821091039513,82.58199877421671,16.002149676243512,71.95178097458543,93.19804563701702,21.246264662431585,45.15424866871095,152.12582668741695,106.971578018706,0.5336454173125366,0.7528082482392056,8,78.58740341551233,78.1191240121515,13.127998914531707,69.63845381264726,87.52472594202244,17.886272129375186,39.75790280498941,123.88483625765072,84.1269334526613,0.11921666793663424,0.14982599993080203,6,5.0379557936224914e-08,True
proportion_unique_tokens,-0.012419502844571188,-0.011314128608838597,0.054718339132570855,94150.0,1.5933531720935243e-08,-0.24550528707261665,-0.13024195120861645,0.27254226844735246,0.271660751891851,0.04861360035532394,0.23923553125062322,0.3045874381608688,0.06535190691024559,0.1435773145904023,0.4366110080395795,0.2930336934491772,0.22907135752205318,0.21019413084951744,8,0.26012276560278125,0.2574908933259991,0.04596117432422098,0.22761505504207435,0.29084414165524797,0.06322908661317361,0.1328752380163921,0.4259567387687188,0.29308150075232675,0.301930912343252,0.14223095268607278,6,7.295880314322979e-08,True
second_order_coherence,-0.010048822921033075,-0.008731782465829785,0.04609530618460095,95514.0,6.679680464856229e-08,-0.23457452989329686,-0.13518355135810667,0.6708687908001557,0.6695915027863455,0.038707022333783994,0.6440080956841899,0.6969811325266811,0.05297303684249122,0.5627415152266622,0.8096428194516142,0.24690130422495205,0.18738926924203797,-0.10999561686312509,3,0.6608199678791228,0.6600539660442006,0.03489906724080937,0.6375623865118717,0.6800594123223824,0.042497025810510736,0.5435934010512975,0.8118489860598721,0.2682555850085746,0.2628580003692401,0.552983984676017,12,2.90566100221246e-07,True
